HAND_ID,NS_ETAB_ID,CO_ETUDE_ID,TE_LM,CO_VALEUR,DT_DEBUT,DT_FIN,SW_LM_1,SW_LM_2,SW_LM_3,SW_LM_1_OBG,SW_LM_2_OBG,SW_LM_3_OBG
1,29,GT11C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
2,29,GT11D,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
3,29,GT12C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
4,29,GT12S,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
5,29,GT2D ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
6,29,GT21 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
7,29,GT21 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
8,29,GT22 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
9,29,GT22 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
10,29,GT31 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
11,29,GT31 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
12,29,GT32 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
13,29,GT32 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
14,29,TQ3C ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
15,29,TQ31 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
16,29,TQ32 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
17,29,TQ33 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
18,29,TT21 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
19,29,TT22 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
20,29,TT31 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
21,29,TT32 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
22,30,GT11C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
23,30,GT11D,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
24,30,GT12C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
25,30,GT12S,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
26,30,GT2D ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
27,30,GT21 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
28,30,GT21 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
29,30,GT22 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
30,30,GT22 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
31,30,GT31 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
32,30,GT31 ,Espagnol,ES,2014-09-01,9999-12-31,N,N,O,N,N,N
33,30,GT31 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
34,30,GT32 ,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
35,30,GT32 ,Espagnol,ES,2014-09-01,9999-12-31,N,N,O,N,N,N
36,30,GT32 ,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
37,30,GT33L,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
38,30,GT33L,Espagnol,ES,2014-09-01,9999-12-31,N,N,O,N,N,N
39,30,GT33L,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
40,30,GT33M,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
41,30,GT33M,Espagnol,ES,2014-09-01,9999-12-31,N,N,O,N,N,N
42,30,GT33M,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
43,30,GT33S,Anglais,EN,2014-09-01,9999-12-31,N,O,N,N,N,N
44,30,GT33S,Espagnol,ES,2014-09-01,9999-12-31,N,N,O,N,N,N
45,30,GT33S,Néerlandais,NL,2014-09-01,9999-12-31,O,N,N,N,N,N
46,30,PC4  ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
47,30,PC5  ,Allemand,DE,2019-09-01,9999-12-31,O,N,N,O,N,N
48,30,PC5  ,Anglais,EN,2019-09-01,9999-12-31,O,N,N,O,N,N
49,30,PC5  ,Néerlandais,NL,2019-09-01,9999-12-31,O,N,N,O,N,N
50,30,PC6  ,Allemand,DE,2020-09-01,9999-12-31,O,N,N,O,N,N
51,30,PC6  ,Anglais,EN,2020-09-01,9999-12-31,O,N,N,O,N,N
52,30,PC6  ,Néerlandais,NL,2020-09-01,9999-12-31,O,N,N,O,N,N
53,30,PQSC ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
54,30,PQS1 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
55,30,PQS2 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
56,30,PQS3 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
57,30,PQ2CC,Allemand,DE,2019-09-01,9999-12-31,O,N,N,O,N,N
58,30,PQ2CC,Anglais,EN,2019-09-01,9999-12-31,O,N,N,O,N,N
59,30,PQ2CC,Néerlandais,NL,2019-09-01,9999-12-31,O,N,N,O,N,N
60,30,PQ21 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
61,30,PQ22 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
62,30,PQ3C ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
63,30,PQ31 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
64,30,PQ32 ,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
65,30,PQ33B,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
66,30,PQ33C,Néerlandais,NL,2018-09-01,9999-12-31,O,N,N,N,N,N
